Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);HFO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);V2O3(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);FET(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);AS2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);OH(WT%);SO3(WT%);S(WT%);LOI(WT%);TI(WT%);CA(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);;;;AR40(CCMSTP/G);;;;AR40(MOL/G);;;;AR40(PPB);K(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM);;;;CO(PPM);;;;NI(PPM);;;;CU(PPM);;;;ZN(PPM);;;;GA(PPM);;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM);;;;;;SR(PPM);;;;;;Y(PPM);;;;ZR(PPM);;;;NB(PPM);;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM): altern. values or methods;;;;TE(PPM);CS(PPM): altern. values or methods;;;;BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM): altern. values or methods;;;;TB(PPM): altern. values or methods;;;;DY(PPM): altern. values or methods;;;;HO(PPM);ER(PPM): altern. values or methods;;;;TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;AR40_AR36_INI;PB206_U238;PB207_U235;RA226_TH230_ACT;PA231_U235_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;D7LI(VS LSVEC);D13C(VS PDB);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS VCDT);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);MAGNESIOFERRITE(MOL%);MONTICELLITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);PICROCHROMITE(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;AGE_PB207_U235(MA);AGE_PB206_U238(MA);
[12508] DONGMO A. K., WANDJI P., POUCLET A., VICAT J.-P., CHEILLETZ A., NKOUATHIO D. G., ALEXANDROV P., TCHOUA F. M.:   VOLCANOLOGICAL EVOLUTION OF THE MOUNT MANENGOUBA (CAMEROON LINE), NEW PETROGRAPHICAL, GEOCHEMICAL AND GEOCHRONOLOGICAL DATA |  COMPT. REND. ACAD. SCI. PARIS SER. 2A 333    [2001]  155-162  | doi: 10.1016/S1251-8050(01)01625-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[12633] SOERENSEN E. V., HOLM P. M.:   PETROLOGICAL INFERENCES ON THE EVOLUTION OF MAGMAS ERUPTED IN THE ANDAGUA VALLEY, PERU (CENTRAL VOLCANIC ZONE) |  J. VOLCANOL. GEOTHERM. RES. 177    [2008]  378-396  | doi: 10.1016/j.jvolgeores.2008.05.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[12783] NKOUATHIO D. G., DONGMO A. K., BARDINTZEFF J.-M., WANDJI P., BELLON H., POUCLET A.:   EVOLUTION OF VOLCANISM IN GRABEN AND HORST STRUCTURES ALONG THE CENOZOIC CAMEROON LINE (AFRICA): IMPLICATIONS FOR TECTONIC EVOLUTION AND MANTLE SOURCE COMPOSITION |  MINERAL. PETROL. 94    [2008]  287-303  | doi: 10.1007/s00710-008-0018-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[12969] KOKFELT T. F., HOERNLE K. A., LUNDSTROM C. C., HAUFF F., VAN DEN BOGAARD P.:   TIME-SCALES FOR MAGMATIC DIFFERENTIATION AT THE SNAEFELLSJÖKULL CENTRAL VOLCANO, WESTERN ICELAND: CONSTRAINTS FROM U-TH-PA-RA DISEQUILIBRIA IN POST-GLACIAL LAVAS |  GEOCHIM. COSMOCHIM. ACTA 73    [2009]  1120-1144  | GeoReM-id: 5081 | doi: 10.1016/j.gca.2008.11.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13027] NGOUNOUNO I., DERUELLE B., GUIRAUD R., VICAT J.-P.:   THOLEIITIC AND ALKALINE MAGMATISMS OF THE EARLY-CRETACEOUS HALF-GRABENS OF MAYO OULO-LÉRÉ AND BABOURI-FIGUIL (NORTHERN CAMEROON-SOUTHERN CHAD) IN EXTENSIONAL STRUCTURAL SETTINGS |  COMPT. REND. ACAD. SCI. PARIS SER. 2A 333    [2001]  201-207  | doi: 10.1016/S1251-8050(01)01626-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13387] ROCCHI S., ARMIENTI P., D^ORAZIO M., TONARINI S., WIJBRANS J. R., DI VINCENZO G.:   CENOZOIC MAGMATISM IN THE WESTERN ROSS EMBAYMENT: ROLE OF MANTLE PLUME VERSUS PLATE DYNAMICS IN THE DEVELOPMENT OF THE WEST ANTARCTIC RIFT SYSTEM |  J. GEOPHYS. RES. B107    [2002]   | doi: 10.1029/2001JB000515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13393] BERRAHMA M., HERNANDEZ J.:   ON THE ESSENTIALLY TRACHYTIC AND PERALKALINE ROCKS OF THE SIRWA VOLCANO, ANTI-ATLAS, MOROCCO |  COMPT. REND. ACAD. SCI. PARIS SER. 2A 300    [1985]  863-868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13482] INNOCENTI F., MAZZUOLI R., PASQUARE G., RADICATI DI BROZOLO F., VILLARI L.:   EVOLUTION OF THE VOLCANISM IN THE AREA OF INTERACTION BETWEEN THE ARABIAN, NUBIAN, ANATOLIAN AND IRANIAN PLATES (LAKE VAN, EASTERN TURKEY) |  J. VOLCANOL. GEOTHERM. RES. 1    [1976]  103-112  | doi: 10.1016/0377-0273(76)90001-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13636] HAMELIN B., SEITZ H.-M., BARRAT J.-A., DOSSO L., MAURY R. C., CHAUSSIDON M.:   A LOW D7LI LOWER CRUSTAL COMPONENT: EVIDENCE FROM AN ALKALIC INTRAPLATE VOLCANIC SERIES (CHAÎNE DES PUYS, FRENCH MASSIF CENTRAL) |  CHEM. GEOL. 266    [2009]  205-217  | GeoReM-id: 4790 | doi: 10.1016/j.chemgeo.2009.06.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13787] SMITH D. J., PETTERSON M. G., SAUNDERS A. D., MILLAR I. L., JENKIN G. R. T., TOBA T., NADEN J., COOK J. M.:   THE PETROGENESIS OF SODIC ISLAND ARC MAGMAS AT SAVO VOLCANO, SOLOMON ISLANDS |  CONTRIB. MINERAL. PETROL. 158    [2009]  785-801  | GeoReM-id: 4914 | doi: 10.1007/s00410-009-0410-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13878] MOUTY M., DELALOYE M., FONTIGNIE D., PISKIN O., WAGNER J. J.:   THE VOLCANIC ACTIVITY IN SYRIA AND LEBANON BETWEEN JURASSIC AND ACTUAL |  SCHWEIZ. MINERAL. PETROGR. MITT. 72    [1992]  91-105  | doi: 10.5169/seals-54898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[13967] KÖHLER J., SCHÖNENBERGER J., UPTON B. G. J., MARKL G.:   HALOGEN AND TRACE-ELEMENT CHEMISTRY IN THE GARDAR PROVINCE, SOUTH GREENLAND: SUBDUCTION-RELATED MANTLE METASOMATISM AND FLUID EXSOLUTION FROM ALKALIC MELTS |  LITHOS 113    [2009]  731-747  | GeoReM-id: 4895 | doi: 10.1016/j.lithos.2009.07.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14226] RONGA F., LUSTRINO M., MARZOLI A., MELLUSO L.:   PETROGENESIS OF A BASALT-COMENDITE-PANTELLERITE ROCK SUITE: THE BOSETI VOLCANIC COMPLEX (MAIN ETHIOPIAN RIFT) |  MINERAL. PETROL. 98    [2010]  227-243  | doi: 10.1007/s00710-009-0064-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14264] NICOTRA E., VICCARO M., FERLITO C., CRISTOFOLINI R.:   INFLUX OF VOLATILES INTO SHALLOW RESERVOIRS AT MR. ETNA VOLCANO (ITALY) RESPONSIBLE FOR HALOGEN-RICH MAGMAS |  EUR. J. MINERAL. 22    [2010]  121-138  | doi: 10.1127/0935-1221/2010/0022-1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14339] FEDELE L., LUSTRINO M., MELLUSO L., MORRA V., D^AMELIO F.:   THE PLIOCENE MONTIFERRO VOLCANIC COMPLEX (CENTRAL-WESTERN SARDINIA, ITALY): GEOCHEMICAL OBSERVATIONS AND PETROLOGICAL IMPLICATIONS |  PER. MINERAL. 76    [2007]  101-136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14345] LOPEZ M., POMPILIO M., ROTOLO S. G.:   PETROLOGY OF SOME AMPHIBOLE-BEARING VOLCANICS OF THE PRE-ELLITTICO PERIOD (102-80 KA), MT. ETNA |  PER. MINERAL. 75    [2006]  151-166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14370] D^ORAZIO M., ARMIENTI P., CERRETINI S.:   PHENOCRYST/MATRIX TRACE-ELEMENT PARTITION COEFFICIENTS FOR HAWAIITE-TRACHYTE LAVAS FROM THE ELLITTICO VOLCANIC SEQUENCE (MT. ETNA, SICILY, ITALY) |  MINERAL. PETROL. 64    [1998]  65-88  | doi: 10.1007/BF01226564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14457] ESTRADA S., HENJES-KUNST F., MELCHER F., TESSENSOHN F.:   PALEOCENE ALKALINE VOLCANISM IN THE NARES STRAIT REGION: EVIDENCE FROM VOLCANIC PEBBLES |  INT. J. EARTH SCI. (GEOL. RUNDSCHAU) 99    [2010]  863-890  | doi: 10.1007/s00531-009-0432-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14465] DAVIS A. S., CLAGUE D. A., PADUAN J. B., COUSENS B. L., HUARD J.:   ORIGIN OF VOLCANIC SEAMOUNTS AT THE CONTINENTAL MARGIN OF CALIFORNIA RELATED TO CHANGES IN PLATE MARGINS |  GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 11    [2010]   | GeoReM-id: 5473 | doi: 10.1029/2010GC003064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14503] LUSTRINO M., KESKIN M., MATTIOLI M., LEBEDEV V. A., CHUGAEV A. V., SHARKOV E. V., KAVAK O.:   EARLY ACTIVITY OF THE LARGEST CENOZOIC SHIELD VOLCANO IN THE CIRCUM-MEDITERRANEAN AREA: MT. KARACADAG, SE TURKEY |  EUR. J. MINERAL. 22    [2010]  343-362  | GeoReM-id: 5824 | doi: 10.1127/0935-1221/2010/0022-2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14572] KAMGANG P., NJONFANG E., NONO A., DEDZO M. G., TCHOUA F. M.:   PETROGENESIS OF A SILICIC MAGMA SYSTEM: GEOCHEMICAL EVIDENCE FROM BAMENDA MOUNTAINS, NW CAMEROON, CAMEROON VOLCANIC LINE |  J. AFR. EARTH SCI. 58    [2010]  285-304  | doi: 10.1016/j.jafrearsci.2010.03.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[14933] DE BENI E., WIJBRANS J. R., BRANCA M., GROPPELLI G.:   NEW RESULTS OF 40AR/39AR DATING CONSTRAIN THE TIMING OF TRANSITION FROM FISSURE-TYPE CENTRAL VOLCANISM AT MOUNT ETNA (ITALY) |  TERRA NOVA 17    [2005]  292-298  | doi: 10.1111/j.1365-3121.2005.00614.x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
