Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;2;;;PRIMARY;;;;;;;;64.8;0.34;;;17.81;0.07;;;;;;;;;;1.22;;0.43;0;0.02;;;0;;;;9.68;EMP (EPMA);;;4.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.87;2.23;;;;;;59.91;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;3;;;PRIMARY;;;;;;;;59.38;0.04;;;24.72;0.03;;;;;;;;;;0.15;;6.84;0.01;0;;;0;;;;0.5;EMP (EPMA);;;7.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.27;31.95;;;;;;2.78;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;4;;;PRIMARY;;;;;;;;64.05;0.15;;;19.05;0.01;;;;;;;;;;0.59;;1.36;0.03;0;;;0;;;;6.14;EMP (EPMA);;;6.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.39;6.85;;;;;;36.76;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;5;;;PRIMARY;;;;;;;;63.18;0;;;22.87;0.06;;;;;;;;;;0.03;;4.91;0.03;0.01;;;0;;;;0.81;EMP (EPMA);;;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.81;22.7;;;;;;4.48;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;6;;;PRIMARY;;;;;;;;64.09;0.34;;;17.96;0.01;;;;;;;;;;1.2;;0.31;0;0.02;;;0;;;;10.29;EMP (EPMA);;;3.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.4;1.58;;;;;;62.01;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;7;;;PRIMARY;;;;;;;;57.93;0.03;;;26.45;0;;;;;;;;;;0.45;;6.75;0.02;0.01;;;0;;;;1.06;EMP (EPMA);;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.47;34.14;;;;;;6.39;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;8;;;PRIMARY;;;;;;;;57.34;0.03;;;25.18;0;;;;;;;;;;0.62;;7.46;0.07;0;;;0.02;;;;0.95;EMP (EPMA);;;6.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.35;36.18;;;;;;5.48;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;9;;;PRIMARY;;;;;;;;58.09;0.04;;;25.74;0.01;;;;;;;;;;0.41;;8.13;0.05;0.03;;;0.01;;;;0.74;EMP (EPMA);;;6.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.82;38.96;;;;;;4.22;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;10;;;PRIMARY;;;;;;;;65.38;0.23;;;17.65;0;;;;;;;;;;0.39;;0.51;0;0.03;;;0;;;;8.09;EMP (EPMA);;;4.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.06;2.73;;;;;;51.21;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11;;;PRIMARY;;;;;;;;56.12;0.08;;;26.85;0;;;;;;;;;;0.49;;9.91;0.06;0.02;;;0.01;;;;0.48;EMP (EPMA);;;5.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.7;47.56;;;;;;2.74;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;12;;;PRIMARY;;;;;;;;56.34;0.06;;;26.56;0;;;;;;;;;;0.37;;9.16;0.04;0.02;;;0;;;;0.54;EMP (EPMA);;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7;45.12;;;;;;3.18;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13;;;PRIMARY;;;;;;;;57.96;0.03;;;25.12;0.05;;;;;;;;;;0.33;;7.71;0.02;0;;;0.03;;;;0.83;EMP (EPMA);;;6.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.87;38.23;;;;;;4.91;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14;;;PRIMARY;;;;;;;;65.34;0.24;;;18.89;0.03;;;;;;;;;;0.92;;0.61;0;0.03;;;0;;;;8.59;EMP (EPMA);;;3.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.55;3.44;;;;;;58.02;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-01;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;15;;;PRIMARY;;;;;;;;65.13;0.29;;;17.73;0.06;;;;;;;;;;1.18;;0.28;0;0.01;;;0;;;;10.27;EMP (EPMA);;;3.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.81;1.44;;;;;;62.74;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;1;;;PRIMARY;;;;;;;;58.58;0.06;;;24.68;0.02;;;;;;;;;;0.43;;7.52;0.03;0;;;0.02;;;;0.9;EMP (EPMA);;;6.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.71;36.16;;;;;;5.13;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;2;;;PRIMARY;;;;;;;;68.84;0.45;;;16.31;0.06;;;;;;;;;;0.51;;1.03;0;0;;;0;;;;6.04;EMP (EPMA);;;5.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.25;5.6;;;;;;39.16;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;3;;;PRIMARY;;;;;;;;60.55;0;;;24.4;0.03;;;;;;;;;;0.09;;6.39;0.01;0;;;0;;;;0.8;EMP (EPMA);;;7.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.09;30.38;;;;;;4.53;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;4;;;PRIMARY;;;;;;;;64.35;0.23;;;18.31;0.04;;;;;;;;;;0.96;;0.5;0;0;;;0;;;;9.51;EMP (EPMA);;;4.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.9;2.48;;;;;;56.62;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;5;;;PRIMARY;;;;;;;;65.79;0.21;;;18.23;0.02;;;;;;;;;;0.45;;0.74;0.05;0.01;;;0;;;;7.49;EMP (EPMA);;;5.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.97;3.85;;;;;;46.18;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;6;;;PRIMARY;;;;;;;;57.93;0.1;;;25.26;0.04;;;;;;;;;;0.57;;7.5;0.06;0;;;0.01;;;;0.81;EMP (EPMA);;;6.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.07;36.27;;;;;;4.65;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[25574] ZENG YUNCHUAN (2021);samp. 19EJ-02;;CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET;EJIU AREA, SOUTHERN QIANGTANG TERRANE;32.17;86.75;32.25;86.92;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;EOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;7;;;PRIMARY;;;;;;;;60.09;0.07;;;24.33;0.03;;;;;;;;;;0.58;;5.97;0.04;0;;;0;;;;1.29;EMP (EPMA);;;6.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.69;29.7;;;;;;7.61;;;;;;;;;;;;;;;;;;;;;;;;;
