Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);;;;TIO2(WT%);;;;ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);;;;CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);CEO2(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O3(WT%);NB2O5(WT%);TA2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);;;;MGO(WT%);;;;MNO(WT%);;;;BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);K(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);;;;BE(PPM);B(PPM);F(PPM);S(PPM);CL(PPM);AR40(CCMSTP/G);AR40(MOL/G);CA(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);BR(PPM): altern. values or methods;;;;RB(PPM): altern. values or methods;;;;;;SR(PPM): altern. values or methods;;;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);CD(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);OS(PPT);IR(PPB);PT(PPB);AU(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);BI(PPM);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;;;U(PPM): altern. values or methods;;;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;ND145_ND144;SM147_ND144;SR84_SR86;SR84_SR88;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;HE3_HE4(R/R(A));HE4_HE3;PB206_U238;PB207_U235;PB208_TH232;PB210_RA226_ACT;PB210_U238;RA226_TH230_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U238_PB204;U238_PB206;D7LI(PER MIL);D7LI(VS LSVEC);D11B(PER MIL);D11B(VS NBS951);D13C(PER MIL);D13C(VS PDB);D13C(VS VPDB);D18O(PER MIL);D18O(VS SMOW): altern. values or methods;;;;;;D18O(VS VSMOW);D25MG(VS DSM3);D26MG(VS DSM3);D56FE(VS IRMM-014);D57FE(VS IRMM-014);MY_W182(VS NBS3163): altern. values or methods;;;;MY_W183(VS NBS3163);MY_W184(VS NBS3163);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
2021;[24417] MAZZEO F. C. (2021);samp. RT223 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;40;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.18332;;0.5293723;EMP (EPMA);;;44.98465;EMP (EPMA);;;0.3089855;EMP (EPMA);;;;;0.274378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT223 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.9;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8095475;;0.063;EMP (EPMA);;;45.7645335;EMP (EPMA);;;0.126;EMP (EPMA);;;;;0.1785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT223 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.85;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0887775;;0.924;EMP (EPMA);;;39.4981545;EMP (EPMA);;;0.3675;EMP (EPMA);;;;;0.0525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT223 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.895;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.3151532;;0.5353;EMP (EPMA);;;45.4344965;EMP (EPMA);;;0.3131;EMP (EPMA);;;;;0.27712178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;40.5;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.15195;;0.06494535;EMP (EPMA);;;46.58527;EMP (EPMA);;;0.1178988;EMP (EPMA);;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.78;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.671476;;0.741496446;EMP (EPMA);;;43.9935792;EMP (EPMA);;;0.438959244;EMP (EPMA);;;;;0.2652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;40.788;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.50435612;;0.8343;EMP (EPMA);;;47.8343227;EMP (EPMA);;;0.0412;EMP (EPMA);;;;;0.1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.655;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.7665087;;1.00837;EMP (EPMA);;;43.4219263;EMP (EPMA);;;0.2163;EMP (EPMA);;;;;0.213967359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.76;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.7908254;;1.0495239;EMP (EPMA);;;39.3836178;EMP (EPMA);;;0.7752;EMP (EPMA);;;;;0.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT224;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.9859;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4216678;;0.3939;EMP (EPMA);;;45.3161952;EMP (EPMA);;;0.2626;EMP (EPMA);;;;;0.205618022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.14;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.3562441;;1.3478992;EMP (EPMA);;;40.472923;EMP (EPMA);;;0.21834661;EMP (EPMA);;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.14;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.6169488;;0.571133249;EMP (EPMA);;;42.7358021;EMP (EPMA);;;0.376817569;EMP (EPMA);;;;;0.519477101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;40.17;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.2630731;;0.206783418;EMP (EPMA);;;46.3642964;EMP (EPMA);;;0.225497179;EMP (EPMA);;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.38;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.5967977;;1.03923445;EMP (EPMA);;;38.9975039;EMP (EPMA);;;0.766049246;EMP (EPMA);;;;;0.253296991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.39;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.2763914;;1.15466533;EMP (EPMA);;;43.2544822;EMP (EPMA);;;0.205385621;EMP (EPMA);;;;;0.206370977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.38;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.3800315;;0.883891602;EMP (EPMA);;;39.8577209;EMP (EPMA);;;0.50162054;EMP (EPMA);;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;39.895;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4216678;;0.39178809;EMP (EPMA);;;45.3161952;EMP (EPMA);;;0.262991476;EMP (EPMA);;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.48;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.1195816;;0.982589296;EMP (EPMA);;;38.6434984;EMP (EPMA);;;0.728507936;EMP (EPMA);;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;[24417] MAZZEO F. C. (2021);samp. RT226 ICP;;MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD;;-19.2;48.8;-19.2;48.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;38.25;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.8714906;;1.394544;EMP (EPMA);;;37.1231856;EMP (EPMA);;;0.4794;EMP (EPMA);;;;;0.0612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
