Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),INCLUSION SIZE,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),CACO3(WT%),C(WT%),F(WT%),CL(WT%),OH(WT%),SO2(WT%),SO3(WT%),S(WT%): altern. values or methods,,,,LOI(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CO(WT%),CU(WT%),NI(WT%),ZN(WT%),HE(MOL/G),HE4(CCMSTP/G),LI(PPM),BE(PPM),B(PPM),F(PPM),NE(MOL/G),P(PPM),S(PPM),CL(PPM),AR(MOL/G),AR40(AT/G),AR40(CCMSTP/G),AR40(MOL/G),AR40(PPB),K(PPM),SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CR52(PPM),CR53(PPM),MN(PPM),CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,NI60(PPM),NI62(PPM),CU(PPM): altern. values or methods,,,,CU63(PPM),CU65(PPM),ZN(PPM): altern. values or methods,,,,ZN66(PPM),ZN67(PPM),GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),RU(PPB),RU(PPT),RH(PPB),RH(PPT),PD(PPB),PD(PPT),AG(PPM),AG(PPB),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),RE(PPB),RE(PPT),OS(PPB),IR(PPB),IR(PPT),PT(PPB),PT(PPT),AU(PPM),AU(PPB),HG(PPM),HG(PPB),TL(PPM),PB(PPM): altern. values or methods,,,,PB206(PPM),BI(PPM),TH(PPM): altern. values or methods,,,,TH232(PPM),U(PPM): altern. values or methods,,,,U238(PPM),CO2(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,YB176_HF177,HE3_HE4(R/R(A)),HE4_NE20,AR36_AR39,AR37_AR39,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,RA226_U238,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D11B(PER MIL),D11B(VS NBS951),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),DD(VS SMOW),ALBITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),HEDENBERGITE(MOL%),JADEITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),TSCHERMAKITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA)
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.73427564,0.3621376,,2.184684,,,,,,5.1284,,22.186024,16.4012,0.162092,,,,,,,0.023536,0.234008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.21729698791,ICPMS_LA,,,,116.350839599249,ICPMS_LA,,,723.693447477479,ICPMS_LA,,,,,,39.2968715585665,ICPMS_LA,,,96.9655335748412,ICPMS_LA,,,,,,,,,,,34.7735910848904,ICPMS_LA,,,,,,,,,,,,,0.0438878512042201,ICPMS_LA,,,,,139.108968705898,ICPMS_LA,,,,,11.3503081969877,ICPMS_LA,,,16.8143358978032,ICPMS_LA,,,0.0597819489216561,ICPMS_LA,,,,,,,,,,,,,,,,,0.0132878,0.100929917213115,ICPMS_LA,,,4.21194460412343,ICPMS_LA,,,14.0991317114927,ICPMS_LA,,,2.38025258051072,12.4161686983864,ICPMS_LA,,,,,3.64995481233819,ICPMS_LA,,,0.842758922936348,3.39860853474338,0.460241820478896,2.40493840607042,0.461109956199495,1.10507501206724,0.149972570768516,0.872121233555991,0.134458181891435,0.915321680091204,0.00771196567047569,,,,,,,,,,,,,,,,,,,,,0.0983142982302117,ICPMS_LA,,,,0.0137021794477194,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.45350455,0.323642,,2.186,,,,,,4.832,,21.95592,16.796,0.14316,,,,,,,0.02436,0.19598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.661081285917,ICPMS_LA,,,,122.168818382868,ICPMS_LA,,,1208.2505035817,ICPMS_LA,,,,,,40.8629582439334,ICPMS_LA,,,101.755084213501,ICPMS_LA,,,,,,,,,,,50.0347241337182,ICPMS_LA,,,,,,,,,,,,,0.0427058,ICPMS_LA,,,,,123.028973845691,ICPMS_LA,,,,,15.3341965962877,ICPMS_LA,,,21.8259950636348,ICPMS_LA,,,0.0850470256625897,ICPMS_LA,,,,,,,,,,,,,,,,,0.0142126,0.0791592,ICPMS_LA,,,5.28031249506058,ICPMS_LA,,,17.6672360296986,ICPMS_LA,,,2.93414578024352,15.0158498671497,ICPMS_LA,,,,,4.40661089881173,ICPMS_LA,,,0.891917096975273,3.9817633285975,0.565554967970963,3.11603787432596,0.628839750646116,1.53193760260472,0.220532376851242,1.29602594832436,0.205732230646823,1.19147332922053,0.0133580206901309,,,,,,,,,,,,,,,,,,,,,0.155591334577559,ICPMS_LA,,,,0.0244416978349333,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.2931205,0.30459,,2.19,,,,,,4.86,,21.9422,16.89,0.1546,,,,,,,0.0256,0.1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1531494091418,ICPMS_LA,,,,123.27846793726,ICPMS_LA,,,1349.61638607117,ICPMS_LA,,,,,,42.0615796290328,ICPMS_LA,,,102.693837239792,ICPMS_LA,,,,,,,,,,,56.2116144020919,ICPMS_LA,,,,,,,,,,,,,0.043792,ICPMS_LA,,,,,115.164605159531,ICPMS_LA,,,,,16.6830882704665,ICPMS_LA,,,23.5631906496489,ICPMS_LA,,,0.101347388553092,ICPMS_LA,,,,,,,,,,,,,,,,,0.014457,0.073769,ICPMS_LA,,,5.66661355282105,ICPMS_LA,,,18.9181867616448,ICPMS_LA,,,3.13018892936763,15.8917067253464,ICPMS_LA,,,,,4.62359520002697,ICPMS_LA,,,0.895396821114163,4.14900194318145,0.607834284978127,3.31926974717293,0.678084879798395,1.67476296969661,0.245838749394922,1.43518612740793,0.230016190915945,1.27667840609787,0.0156066508626636,,,,,,,,,,,,,,,,,,,,,0.179507593206536,ICPMS_LA,,,,0.0292858146011228,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,53.46729015,0.323906,,2.21,,,,,,5.368,,22.2068,16.094,0.19876,,,,,,,0.03358,0.27116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0098627470728,ICPMS_LA,,,,116.227894099005,ICPMS_LA,,,412.92595839373,ICPMS_LA,,,,,,38.5050417604234,ICPMS_LA,,,94.3802332185482,ICPMS_LA,,,,,,,,,,,27.6993048557732,ICPMS_LA,,,,,,,,,,,,,0.0411816,ICPMS_LA,,,,,141.639899708775,ICPMS_LA,,,,,9.30550008683114,ICPMS_LA,,,13.9050952298081,ICPMS_LA,,,0.0605562995598099,ICPMS_LA,,,,,,,,,,,,,,,,,0.0138876,0.102373691278175,ICPMS_LA,,,3.50439618643071,ICPMS_LA,,,11.8384161417262,ICPMS_LA,,,1.96561982063852,10.8163802714215,ICPMS_LA,,,,,3.11868594960976,ICPMS_LA,,,0.802523893002949,3.02975113529549,0.397695169071448,2.00124100592116,0.370901525314983,0.904869391971977,0.113122732948029,0.679838384059181,0.101041570881355,0.76372603345004,0.00612376603798823,,,,,,,,,,,,,,,,,,,,,0.0720338899841148,ICPMS_LA,,,,0.0078699449390028,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.999721143,0.34546204,,2.199108,,,,,,5.0856,,22.2771248,16.2712,0.1486024,,,,,,,0.0286248,0.2421656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9148265919238,ICPMS_LA,,,,106.208261336383,ICPMS_LA,,,619.74077591635,ICPMS_LA,,,,,,37.9746959258938,ICPMS_LA,,,97.7693172675143,ICPMS_LA,,,,,,,,,,,29.967733910274,ICPMS_LA,,,,,,,,,,,,,0.119670678780785,ICPMS_LA,,,,,141.60343176618,ICPMS_LA,,,,,9.04721170569974,ICPMS_LA,,,13.6582651057237,ICPMS_LA,,,0.0450691066966523,ICPMS_LA,,,,,,,,,,,,,,,,,0.0164015012846136,0.326639272864913,ICPMS_LA,,,3.60991833811592,ICPMS_LA,,,12.1569528395871,ICPMS_LA,,,2.06479286296189,10.372102104606,ICPMS_LA,,,,,3.03648903010645,ICPMS_LA,,,0.744804155578416,2.84530288325586,0.382796631344746,1.95816005938396,0.361645407284173,0.844544742548073,0.124857299307319,0.696231723423573,0.102174509733743,0.730591521806559,0.00634792668186545,,,,,,,,,,,,,,,,,,,,,0.0914040820548958,ICPMS_LA,,,,0.0145584606526351,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.339651675,0.339449,,2.1903,,,,,,5.005,,22.16368,16.705,0.13379,,,,,,,0.00898,0.28586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2904502464496,ICPMS_LA,,,,99.4178317888712,ICPMS_LA,,,905.494676392791,ICPMS_LA,,,,,,38.7095344359352,ICPMS_LA,,,105.301794601805,ICPMS_LA,,,,,,,,,,,34.2153697316637,ICPMS_LA,,,,,,,,,,,,,0.552204457366717,ICPMS_LA,,,,,142.976682723234,ICPMS_LA,,,,,10.0437297475257,ICPMS_LA,,,15.7081700170521,ICPMS_LA,,,0.085732654899281,ICPMS_LA,,,,,,,,,,,,,,,,,0.0214443977085425,1.43469712673114,ICPMS_LA,,,4.28091220959371,ICPMS_LA,,,13.7105632944559,ICPMS_LA,,,2.19527318216669,10.9884382380311,ICPMS_LA,,,,,3.14951066913189,ICPMS_LA,,,0.732940423218757,2.8918945892076,0.412414473102955,2.10731338465926,0.400410024719856,0.962890335344077,0.151006733885918,0.784217199722409,0.121543380165063,0.791514386606504,0.0098317318482851,,,,,,,,,,,,,,,,,,,,,0.147208056660511,ICPMS_LA,,,,0.025287038618202,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,53.36709962,0.3398956,,2.213,,,,,,5.05,,22.239532,16.143,0.152486,,,,,,,0.037832,0.235984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5853051793989,ICPMS_LA,,,,108.147858522721,ICPMS_LA,,,567.396962718669,ICPMS_LA,,,,,,37.2377889806419,ICPMS_LA,,,96.6779764505975,ICPMS_LA,,,,,,,,,,,28.014018754653,ICPMS_LA,,,,,,,,,,,,,0.03465196,ICPMS_LA,,,,,140.20933517196,ICPMS_LA,,,,,8.62128645806637,ICPMS_LA,,,12.8827385870699,ICPMS_LA,,,0.0335086740117133,ICPMS_LA,,,,,,,,,,,,,,,,,0.0164655855456722,0.110942608033697,ICPMS_LA,,,3.33846837513598,ICPMS_LA,,,11.4604772492867,ICPMS_LA,,,1.97425493808547,9.91485308902862,ICPMS_LA,,,,,2.90899304320965,ICPMS_LA,,,0.727197441467851,2.76048690421222,0.362202014575505,1.89265261070328,0.343435124028351,0.793218624689356,0.117352564408207,0.671038448291813,0.0966187938574821,0.718123226880199,0.00538082779846076,,,,,,,,,,,,,,,,,,,,,0.0782521615645217,ICPMS_LA,,,,0.0123505235374377,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL286,48435,AEOLIAN ARC / ITALY / VULCANO / VULCANELLO,VULCANELLO PENINSULA,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.90139186,0.3762924,,2.2082,,,,,,4.8564,,22.073324,16.4422,0.117142,,,,,,,0.022312,0.212256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.343236014945,ICPMS_LA,,,,116.559063841085,ICPMS_LA,,,733.29113088241,ICPMS_LA,,,,,,37.5459300360636,ICPMS_LA,,,98.2448007716236,ICPMS_LA,,,,,,,,,,,31.4244857230153,ICPMS_LA,,,,,,,,,,,,,0.03825276,ICPMS_LA,,,,,145.620545125143,ICPMS_LA,,,,,10.8827093020592,ICPMS_LA,,,16.0826020508948,ICPMS_LA,,,0.037537153713118,ICPMS_LA,,,,,,,,,,,,,,,,,0.0137160153440098,0.0982442277052682,ICPMS_LA,,,4.04583864152757,ICPMS_LA,,,13.6777366984347,ICPMS_LA,,,2.30833789830864,12.0721554634824,ICPMS_LA,,,,,3.63431175816956,ICPMS_LA,,,0.860755384927266,3.37372452840631,0.430403289724169,2.40412251303017,0.459737715545417,1.05573336494068,0.141089481486531,0.84646095498833,0.126776141452425,0.894747814565731,0.00661067482974185,,,,,,,,,,,,,,,,,,,,,0.0850131708478994,ICPMS_LA,,,,0.0106173394516319,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL339/1,,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO,PIETRE COTTE,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.661885012,0.35133912,,2.21,,,,,,4.91592,,22.0338496,16.58616,0.1391472,,,,,,,0.0239328,0.2102776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.689665532223,ICPMS_LA,,,,118.833462280991,ICPMS_LA,,,959.52995695015,ICPMS_LA,,,,,,39.4765966781899,ICPMS_LA,,,99.7479463910738,ICPMS_LA,,,,,,,,,,,40.8773084595808,ICPMS_LA,,,,,,,,,,,,,0.040426472,ICPMS_LA,,,,,133.199434168372,ICPMS_LA,,,,,13.055343301499,ICPMS_LA,,,18.8959325883851,ICPMS_LA,,,0.0639981270328369,ICPMS_LA,,,,,,,,,,,,,,,,,0.014054996647687,0.0878238720052907,ICPMS_LA,,,4.65707561328159,ICPMS_LA,,,15.6375070838157,ICPMS_LA,,,2.6172682218504,13.4947443050796,ICPMS_LA,,,,,3.98752928882279,ICPMS_LA,,,0.867759946544675,3.65391041547391,0.49888771689256,2.73435495476024,0.538224804109338,1.28558287247476,0.180635175691983,1.06430003614727,0.165386277566691,1.03923148753138,0.0100152425076198,,,,,,,,,,,,,,,,,,,,,0.121279089271163,ICPMS_LA,,,,0.0179633010657327,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL339/1,,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO,PIETRE COTTE,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.61586865,0.3857172,,2.210512,,,,,,5.2538,,22.282652,16.3024,0.174704,,,,,,,0.024756,0.239666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4902899070715,ICPMS_LA,,,,113.384392630899,ICPMS_LA,,,632.151104661383,ICPMS_LA,,,,,,39.2095530903431,ICPMS_LA,,,95.7143117770427,ICPMS_LA,,,,,,,,,,,31.3101411209672,ICPMS_LA,,,,,,,,,,,,,0.0430451682722934,ICPMS_LA,,,,,142.87996571056,ICPMS_LA,,,,,10.3266350344783,ICPMS_LA,,,15.6852522980474,ICPMS_LA,,,0.0506610739136431,ICPMS_LA,,,,,,,,,,,,,,,,,0.0129081172064059,0.107571156870017,ICPMS_LA,,,3.98141949341306,ICPMS_LA,,,13.3025259549129,ICPMS_LA,,,2.27892384571845,11.7536877959143,ICPMS_LA,,,,,3.44318469389389,ICPMS_LA,,,0.827491209448035,3.25297694896635,0.438703347773137,2.19860867531795,0.411899822711222,0.988265640504935,0.136086658269204,0.762208620170712,0.11540767308455,0.841900805174703,0.00606792597326724,,,,,,,,,,,,,,,,,,,,,0.0861375029809592,ICPMS_LA,,,,0.012050988892055,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL339/1,,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO,PIETRE COTTE,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.527360415,0.3409406,,2.2148,,,,,,4.9776,,22.011976,16.6538,0.153758,,,,,,,0.024008,0.212324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.092150680618,ICPMS_LA,,,,120.53062216601,ICPMS_LA,,,1063.30291799125,ICPMS_LA,,,,,,40.5723972599545,ICPMS_LA,,,100.332154131235,ICPMS_LA,,,,,,,,,,,45.5619420969964,ICPMS_LA,,,,,,,,,,,,,0.04195174,ICPMS_LA,,,,,127.182583368856,ICPMS_LA,,,,,14.2093688298183,ICPMS_LA,,,20.4133252211878,ICPMS_LA,,,0.079143351143987,ICPMS_LA,,,,,,,,,,,,,,,,,0.01399718,0.0814662056390874,ICPMS_LA,,,4.98614629958541,ICPMS_LA,,,16.6762245286791,ICPMS_LA,,,2.77754701306394,14.2981320944725,ICPMS_LA,,,,,4.18738579504035,ICPMS_LA,,,0.877784141644195,3.82041573814347,0.536747561708728,2.91128699057146,0.580076324216928,1.40972110569411,0.200264172041321,1.17391307635262,0.185072056845943,1.11734482158567,0.0117357591568499,,,,,,,,,,,,,,,,,,,,,0.138851750418783,ICPMS_LA,,,,0.0213085902698532,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL339/1,,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO,PIETRE COTTE,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.78338088,0.3581732,,2.2252,,,,,,5.0808,,22.072344,16.4564,0.15784,,,,,,,0.024376,0.229464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.12043713307,ICPMS_LA,,,,118.526643789907,ICPMS_LA,,,824.124253942361,ICPMS_LA,,,,,,39.4419819031006,ICPMS_LA,,,98.3112788220443,ICPMS_LA,,,,,,,,,,,37.3868246866722,ICPMS_LA,,,,,,,,,,,,,0.04084544,ICPMS_LA,,,,,135.767197870018,ICPMS_LA,,,,,12.2212650352271,ICPMS_LA,,,17.8439979442535,ICPMS_LA,,,0.0641298117564472,ICPMS_LA,,,,,,,,,,,,,,,,,0.0137354,0.0885645930225397,ICPMS_LA,,,4.41952142528676,ICPMS_LA,,,14.8181409374419,ICPMS_LA,,,2.47858473991561,12.973449442565,ICPMS_LA,,,,,3.81239685316049,ICPMS_LA,,,0.859066228187525,3.53935508013482,0.479396196230416,2.57245798982447,0.49988300787168,1.1996779583844,0.164002994391377,0.967554336343208,0.14965620144878,0.984479300144918,0.0088812599219509,,,,,,,,,,,,,,,,,,,,,0.107781141242678,ICPMS_LA,,,,0.0151481839689887,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25549] PALUMMO F. (2021),samp. VL339/1,,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO,PIETRE COTTE,38.404,14.963,38.404,14.963,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,CORE,,,PRIMARY,,,,,,,,,52.712257484,0.33114048,,2.223208,,,,,,5.14984,,22.2599552,16.31392,0.1551256,,,,,,,0.023176,0.2313872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3955226417214,ICPMS_LA,,,,104.99037456945,ICPMS_LA,,,677.063832331933,ICPMS_LA,,,,,,38.9403316000493,ICPMS_LA,,,97.7714328403522,ICPMS_LA,,,,,,,,,,,32.8389444145044,ICPMS_LA,,,,,,,,,,,,,0.03659632,ICPMS_LA,,,,,138.567850431581,ICPMS_LA,,,,,9.70539839405952,ICPMS_LA,,,14.1345876067955,ICPMS_LA,,,0.047394811334314,ICPMS_LA,,,,,,,,,,,,,,,,,0.014282148080665,0.108412453490905,ICPMS_LA,,,3.77006196498513,ICPMS_LA,,,12.7513160926298,ICPMS_LA,,,2.15056284571958,11.0267195165984,ICPMS_LA,,,,,3.2097849651915,ICPMS_LA,,,0.774046983746443,3.01996762161975,0.404604646424567,2.05557775146251,0.395905663008656,0.930301564198716,0.132510115849743,0.759452596207097,0.110488061614908,0.742157676805862,0.00743031298280362,,,,,,,,,,,,,,,,,,,,,0.0895456593861595,ICPMS_LA,,,,0.0132392242130263,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
